Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude;
LF;LFBG/W1;PtRep;Cognac Salle d'Angles;;180;45.6178;-0.332778;
LF;LFBG/E2;PtRep;Cognac Segonzac;;200;45.6172;-0.218889;
LF;LFAD/NA;PtRep;Compiègne Carrefour;;300;49.4392;2.79361;
LF;LFAD/N;PtRep;Compiègne Inter rocade;;315;49.4497;2.78722;
LF;LFJD/W;PtRep;Corlier W Châtillon de C.;;1500;46.0447;5.45556;
LF;LFLJ/N;PtRep;Courchevel Bozel;;2900;45.4431;6.64722;
LF;LFLJ/C;PtRep;Courchevel Carrière Crête Gravelles;;6400;45.4011;6.64778;
LF;LFLJ/E;PtRep;Courchevel Croix Dt du Villard;;7500;45.42;6.67611;
LF;LFLJ/W;PtRep;Courchevel Moutiers;;1600;45.4847;6.52861;
LF;LFLJ/L;PtRep;Courchevel Pylône 7450;;7300;45.4086;6.61472;
LF;LFPC/NE;PtRep;Creil Ech. Compiègne Creil;;300;49.4022;2.69778;
LF;LFPC/SE;PtRep;Creil Inter TGV RN324;;300;49.2231;2.75056;
LF;LFTF/CN;PtRep;Cuers Carnoules;;700;43.2989;6.18306;
LF;LFTF/CO;PtRep;Cuers Collobrieres Carref 1nm W;;520;43.2342;6.28472;
LF;LFTF/MC;PtRep;Cuers Mont Caume (Supprimé);;2638;43.1872;5.90111;
LF;LFTF/VC;PtRep;Cuers Nord Valcros;;1000;43.1917;6.28028;
LF;LFTF/SL;PtRep;Cuers Pont Solliès;;300;43.1914;6.03528;
LF;LFTF/PV;PtRep;Cuers Puget Bretelle au NE;;650;43.2933;6.15278;
LF;LFTF/SA;PtRep;Cuers Ste Anastasie (Tr Sud Gymnase);;980;43.3394;6.12083;
LF;LFTF/TV;PtRep;Cuers Tourves (Ruines château);;850;43.4081;5.95194;
LF;LFBY/N;PtRep;Dax Antenne Bât blanc Ech. D824;;100;43.725;-1.10417;
LF;LFBY/BG;PtRep;Dax Bec de Gave;;;43.5467;-1.195;
LF;LFBY/S;PtRep;Dax Carref. D6 1,5 km NE St-Lon les M;;320;43.6244;-1.11583;
LF;LFBY/NEA;PtRep;Dax Ch. D'eau près Ch. De fer;;90;43.7572;-1.00944;
LF;LFBY/N2;PtRep;Dax Ch. D'eau Saubagnac;;50;43.6981;-1.07306;
LF;LFBY/NE;PtRep;Dax Croisement D413-Ligne HT 1,5 km W Lesgor;;150;43.8539;-0.918889;
LF;LFBY/W;PtRep;Dax Gare Péage;;50;43.6297;-1.39611;
LF;LFBY/NG;PtRep;Dax Gare Triage 3 Km SE Laluque;;200;43.8236;-0.966667;
LF;LFBY/SEA;PtRep;Dax Puyoo;;;43.5242;-0.909722;
LF;LFBY/E;PtRep;Dax Silo Inter Ch. De Fer Route Sud Mimbaste;;60;43.6428;-0.972222;
LF;LFBY/SE;PtRep;Dax W Orthez;;;43.49;-0.785556;
LF;LFPG/RH2;PtRep;De Gaulle Hél. Est Mitry le Neuf;;200;48.9558;2.61528;
LF;LFPG/N;PtRep;De Gaulle Hél. Inter A1 / VF;;325;49.0497;2.5475;
LF;LFPG/RH1;PtRep;De Gaulle Hél. Péage A1;;775;49.0867;2.55167;
LF;LFPG/S;PtRep;De Gaulle Hél. Rd Point;;255;48.9711;2.55167;
LF;LFPG/BD19;PtRep;De Gaulle Hél. Sud TWY B, Tr BD19;;360;49.0181;2.56111;
